,LSOA_code,crime_count
0,E01000027,24
1,E01000029,16
2,E01000031,25
3,E01000111,41
4,E01000037,11
5,E01000038,33
6,E01000100,12
7,E01000109,6
8,E01000114,47
9,E01000064,35
10,E01000082,41
11,E01000083,20
12,E01000077,19
13,E01000015,25
14,E01000016,14
15,E01000017,11
16,E01000018,15
17,E01000035,22
18,E01000108,36
19,E01000066,19
20,E01000067,25
21,E01000071,27
22,E01000057,23
23,E01000074,23
24,E01000075,28
25,E01000076,19
26,E01000059,20
27,E01000084,11
28,E01000105,56
29,E01000007,44
30,E01000008,43
31,E01000010,49
32,E01000006,7
33,E01000044,24
34,E01000042,28
35,E01000045,35
36,E01000046,32
37,E01000072,30
38,E01000056,15
39,E01000058,17
40,E01000095,89
41,E01000092,45
42,E01000087,40
43,E01000088,23
44,E01000090,49
45,E01000048,10
46,E01000049,18
47,E01000051,20
48,E01033587,72
49,E01000094,25
50,E01000020,34
51,E01000097,26
52,E01000098,29
53,E01000099,41
54,E01000250,43
55,E01000246,17
56,E01000247,11
57,E01000251,62
58,E01000166,18
59,E01000172,19
60,E01000291,8
61,E01000268,25
62,E01000171,56
63,E01000286,19
64,E01000290,18
65,E01000273,32
66,E01000281,37
67,E01000282,32
68,E01000122,14
69,E01000118,26
70,E01000123,38
71,E01000124,66
72,E01000265,18
73,E01000266,38
74,E01000320,25
75,E01000322,32
76,E01000277,36
77,E01000321,21
78,E01000195,35
79,E01000230,14
80,E01000231,18
81,E01000232,35
82,E01000233,51
83,E01000189,24
84,E01000159,36
85,E01000160,42
86,E01000162,55
87,E01000258,25
88,E01000255,33
89,E01000257,84
90,E01000262,23
91,E01000192,41
92,E01000194,60
93,E01000226,23
94,E01000227,25
95,E01000299,47
96,E01000300,23
97,E01000304,20
98,E01000234,20
99,E01000235,39
100,E01000164,32
101,E01000295,32
102,E01000296,55
103,E01000125,20
104,E01000127,20
105,E01000128,43
106,E01000129,66
107,E01000198,40
108,E01000199,44
109,E01000260,37
110,E01000151,27
111,E01000152,23
112,E01000154,23
113,E01000176,16
114,E01000316,46
115,E01000196,49
116,E01000200,45
117,E01000203,44
118,E01000180,32
119,E01000182,25
120,E01000185,22
121,E01000147,31
122,E01000155,37
123,E01033572,25
124,E01033573,49
125,E01000239,58
126,E01000240,35
127,E01000241,27
128,E01000309,17
129,E01000237,36
130,E01000242,30
131,E01000243,42
132,E01000244,81
133,E01000245,55
134,E01000314,56
135,E01000183,27
136,E01000207,38
137,E01000208,48
138,E01000213,20
139,E01000236,39
140,E01000238,38
141,E01000310,60
142,E01000311,38
143,E01000205,38
144,E01000209,30
145,E01000211,57
146,E01000216,56
147,E01000150,50
148,E01000306,8
149,E01000312,32
150,E01000219,43
151,E01000220,42
152,E01000136,90
153,E01000144,105
154,E01000146,102
155,E01000214,43
156,E01000141,105
157,E01000221,56
158,E01000223,74
159,E01000307,49
160,E01000138,46
161,E01000137,40
162,E01000139,54
163,E01000140,72
164,E01000143,78
165,E01000466,34
166,E01000469,27
167,E01000464,11
168,E01000470,34
169,E01000335,50
170,E01000337,12
171,E01000404,20
172,E01000405,21
173,E01000408,34
174,E01000402,13
175,E01000406,25
176,E01000407,20
177,E01000419,10
178,E01000429,29
179,E01000430,16
180,E01000431,31
181,E01000432,12
182,E01000357,14
183,E01000450,24
184,E01000367,33
185,E01000455,18
186,E01000456,13
187,E01000360,47
188,E01000362,67
189,E01000366,18
190,E01000394,15
191,E01000392,47
192,E01000409,10
193,E01000414,25
194,E01000329,12
195,E01000330,11
196,E01000412,11
197,E01000375,19
198,E01000376,5
199,E01000379,8
200,E01000349,14
201,E01000361,14
202,E01000350,12
203,E01000352,14
204,E01000448,15
205,E01000443,10
206,E01000424,27
207,E01000427,15
208,E01000462,33
209,E01000384,13
210,E01000428,21
211,E01000383,8
212,E01000385,35
213,E01000386,17
214,E01000590,32
215,E01000592,32
216,E01000594,41
217,E01000513,13
218,E01000514,12
219,E01000516,36
220,E01000588,32
221,E01000515,20
222,E01033463,34
223,E01000538,11
224,E01000541,13
225,E01000518,32
226,E01000519,24
227,E01000574,12
228,E01000575,36
229,E01000577,25
230,E01000566,9
231,E01000569,6
232,E01000481,21
233,E01000483,32
234,E01000625,22
235,E01000498,26
236,E01000497,40
237,E01000499,59
238,E01000502,26
239,E01000571,15
240,E01000578,29
241,E01000608,25
242,E01000506,33
243,E01000509,58
244,E01000510,53
245,E01000628,41
246,E01000553,38
247,E01000554,35
248,E01000555,47
249,E01000556,81
250,E01000558,52
251,E01000609,16
252,E01000615,52
253,E01033424,53
254,E01000504,38
255,E01000505,17
256,E01000512,25
257,E01000620,19
258,E01000635,18
259,E01000636,28
260,E01000601,48
261,E01000602,13
262,E01000605,19
263,E01000639,32
264,E01000642,78
265,E01000644,42
266,E01000494,50
267,E01000495,38
268,E01000560,55
269,E01000638,31
270,E01000641,24
271,E01000643,53
272,E01000508,46
273,E01000527,35
274,E01000474,5
275,E01000477,59
276,E01000630,37
277,E01000599,38
278,E01000600,83
279,E01033456,38
280,E01000545,120
281,E01000546,37
282,E01000547,39
283,E01000478,24
284,E01000489,56
285,E01000491,65
286,E01000492,24
287,E01000493,28
288,E01000523,46
289,E01000524,59
290,E01033455,27
291,E01033485,36
292,E01000579,18
293,E01000580,88
294,E01000582,25
295,E01000583,56
296,E01000586,103
297,E01000530,26
298,E01000531,24
299,E01000544,65
300,E01000550,93
301,E01000552,80
302,E01000780,22
303,E01000782,20
304,E01000783,17
305,E01000799,47
306,E01000802,25
307,E01000803,17
308,E01000804,73
309,E01000805,32
310,E01000740,21
311,E01000741,22
312,E01000742,26
313,E01000745,20
314,E01000746,39
315,E01000709,22
316,E01000710,59
317,E01000718,33
318,E01000694,27
319,E01000674,14
320,E01000676,89
321,E01000823,16
322,E01000824,32
323,E01000825,23
324,E01000743,46
325,E01000796,12
326,E01000798,30
327,E01000806,27
328,E01000673,31
329,E01000712,26
330,E01000715,22
331,E01000700,6
332,E01000797,55
333,E01000729,23
334,E01000738,36
335,E01000739,34
336,E01000704,13
337,E01000801,23
338,E01000646,10
339,E01000675,43
340,E01000677,28
341,E01000719,59
342,E01000724,42
343,E01000833,20
344,E01000807,37
345,E01000722,28
346,E01000725,43
347,E01000733,14
