,LSOA_code,deprivation
0,E01001538,6.9000
1,E01004419,4.9000
2,E01004344,3.5000
3,E01004467,3.4000
4,E01004342,4.0000
5,E01004362,4.3000
6,E01004364,3.0000
7,E01003951,5.7000
8,E01004426,3.9000
9,E01004463,5.3000
10,E01003932,2.4000
11,E01003752,6.1000
12,E01004172,4.8000
13,E01004328,4.4000
14,E01004036,2.7000
15,E01004077,6.1000
16,E01004050,6.2000
17,E01000426,6.8000
18,E01000437,6.1000
19,E01001435,3.7000
20,E01002136,6.4000
21,E01002242,7.5000
22,E01002169,5.1000
23,E01001871,6.3000
24,E01002221,5.3000
25,E01001898,4.1000
26,E01001983,3.3000
27,E01001948,5.7000
28,E01002296,6.3000
29,E01002319,5.2000
30,E01002279,3.8000
31,E01002310,2.4000
32,E01002227,3.3000
33,E01001466,3.3000
34,E01001793,4.1000
35,E01001487,2.8000
36,E01002252,7.2000
37,E01001377,7.5000
38,E01001794,3.8000
39,E01002215,3.5000
40,E01001705,2.9000
41,E01001481,3.7000
42,E01001566,6.2000
43,E01001740,1.9000
44,E01000041,3.2000
45,E01000024,3.3000
46,E01002394,4.8000
47,E01002329,5.6000
48,E01002384,7.9000
49,E01002320,7.1000
50,E01001014,3.1000
51,E01001013,1.8000
52,E01001710,3.0000
53,E01001773,2.2000
54,E01000860,5.2000
55,E01000830,8.9000
56,E01002276,3.3000
57,E01000815,9.3000
58,E01000750,4.1000
59,E01001799,3.8000
60,E01001869,6.0000
61,E01002288,8.4000
62,E01001919,7.4000
63,E01001984,4.9000
64,E01002123,5.3000
65,E01001895,4.7000
66,E01001730,1.9000
67,E01002087,2.5000
68,E01001751,5.6000
69,E01001942,3.8000
70,E01001951,5.2000
71,E01002121,6.5000
72,E01001932,3.9000
73,E01001938,3.4000
74,E01002299,4.6000
75,E01002150,6.8000
76,E01002187,6.8000
77,E01033591,3.1000
78,E01032573,6.4000
79,E01001369,3.9000
80,E01001535,5.8000
81,E01001400,7.1000
82,E01001620,3.0000
83,E01001693,2.9000
84,E01001132,7.3000
85,E01001540,5.6000
86,E01000562,6.7000
87,E01001118,2.2000
88,E01001349,2.9000
89,E01001041,4.5000
90,E01001073,5.9000
91,E01001249,2.1000
92,E01001191,2.5000
93,E01001328,3.0000
94,E01001356,2.3000
95,E01000601,1.6000
96,E01000924,6.0000
97,E01001453,8.5000
98,E01001500,4.7000
99,E01000461,8.0000
100,E01000475,5.2000
101,E01000530,5.6000
102,E01000923,5.1000
103,E01000564,5.7000
104,E01000603,2.9000
105,E01000749,7.4000
106,E01004703,7.2000
107,E01004738,7.6000
108,E01004682,6.1000
109,E01004060,2.8000
110,E01004125,2.8000
111,E01004171,8.0000
112,E01004191,7.7000
113,E01004722,3.0000
114,E01003697,5.1000
115,E01004102,7.4000
116,E01004740,2.9000
117,E01004564,4.6000
118,E01004746,3.8000
119,E01003634,3.3000
120,E01003684,4.8000
121,E01003817,7.1000
