ward,lsoa21cd,risk_score,officers_allocated,patrol_hours,06:00-08:00,08:00-10:00,10:00-12:00,12:00-14:00,14:00-16:00,16:00-18:00,18:00-20:00,20:00-22:00
Abbey,E01000006,0.6240934143618057,8,16,1,1,1,1,1,1,1,1
Abbey,E01000007,0.9188283094989549,8,16,1,1,1,1,1,1,1,1
Abbey,E01000008,1.7345164047465185,8,16,1,1,1,1,1,1,1,1
Abbey,E01000009,0.9645916335170517,8,16,1,1,1,1,1,1,1,1
Abbey,E01000011,0.6551181570624043,8,16,1,1,1,1,1,1,1,1
Abbey,E01000012,-0.0,8,16,1,1,1,1,1,1,1,1
Abbey,E01003355,1.330406316489762,8,16,1,1,1,1,1,1,1,1
Abbey,E01003356,1.489388034430894,8,16,1,1,1,1,1,1,1,1
Abbey,E01003357,0.0,8,16,1,1,1,1,1,1,1,1
Abbey,E01003358,0.0,0,0,0,0,0,0,0,0,0,0
Abbey,E01003359,0.9930954644984482,8,16,1,1,1,1,1,1,1,1
Abbey,E01003360,0.12543369458690623,8,16,1,1,1,1,1,1,1,1
Abbey,E01034473,0.0,6,12,0,0,1,1,1,1,1,1
Abbey,E01034474,0.0,6,12,0,0,1,1,1,1,1,1
Abbey Road,E01004646,1.2407866810631054,17,34,1,1,3,3,3,2,2,2
Abbey Road,E01004647,1.4795834089031519,17,34,1,1,3,3,3,2,2,2
Abbey Road,E01004648,2.128539277591849,17,34,1,1,3,3,3,2,2,2
Abbey Road,E01004649,0.6040563703195349,16,32,1,1,3,3,2,2,2,2
Abbey Road,E01004650,0.6178173083441535,17,34,1,1,3,3,3,2,2,2
Abbey Road,E01004651,0.35790728429534074,16,32,1,1,3,3,2,2,2,2
Abbey Wood,E01001571,0.70543635833549,12,24,1,1,2,2,2,2,1,1
Abbey Wood,E01001572,1.6832881942456606,12,24,1,1,2,2,2,2,1,1
Abbey Wood,E01001573,0.895194972843411,12,24,1,1,2,2,2,2,1,1
Abbey Wood,E01001574,0.42285698875105854,12,24,1,1,2,2,2,2,1,1
Abbey Wood,E01001575,0.902866630460349,10,20,1,1,2,2,1,1,1,1
Abbey Wood,E01001576,0.0,9,18,1,1,2,1,1,1,1,1
Abbey Wood,E01001577,0.0,9,18,1,1,2,1,1,1,1,1
Abbey Wood,E01001578,1.2999845561528647,12,24,1,1,2,2,2,2,1,1
Abbey Wood,E01001579,0.4468283961026703,12,24,1,1,2,2,2,2,1,1
Abingdon,E01002812,0.0,15,30,1,1,3,2,2,2,2,2
