lsoa21cd,ward,risk_score,officers_allocated,patrol_hours,06:00-08:00,08:00-10:00,10:00-12:00,12:00-14:00,14:00-16:00,16:00-18:00,18:00-20:00,20:00-22:00
E01000007,E05000026,0.9188283094989549,100,200,13,13,13,13,12,12,12,12
E01000018,E05000027,0.0,0,0,0,0,0,0,0,0,0,0
E01000022,E05000028,0.0,0,0,0,0,0,0,0,0,0,0
E01000030,E05000029,0.5659647335163924,100,200,13,13,13,13,12,12,12,12
E01000069,E05000035,0.0,0,0,0,0,0,0,0,0,0,0
E01000074,E05000036,0.0,0,0,0,0,0,0,0,0,0,0
E01034477,E05000039,0.0,0,0,0,0,0,0,0,0,0,0
E01000091,E05000039,0.0,0,0,0,0,0,0,0,0,0,0
E01000094,E05000039,0.0,0,0,0,0,0,0,0,0,0,0
E01000097,E05000040,0.0,0,0,0,0,0,0,0,0,0,0
E01000106,E05000041,1.9664381434612508,100,200,13,13,13,13,12,12,12,12
E01000120,E05000043,0.0,0,0,0,0,0,0,0,0,0,0
E01000127,E05000044,0.0,0,0,0,0,0,0,0,0,0,0
E01033914,E05000044,0.0,0,0,0,0,0,0,0,0,0,0
E01000128,E05000044,0.0,0,0,0,0,0,0,0,0,0,0
E01000137,E05000045,0.8749306759581593,100,200,13,13,13,13,12,12,12,12
E01033917,E05000046,0.0,0,0,0,0,0,0,0,0,0,0
E01033918,E05000046,0.0,0,0,0,0,0,0,0,0,0,0
E01033919,E05000046,0.0,0,0,0,0,0,0,0,0,0,0
E01033923,E05000046,0.0,0,0,0,0,0,0,0,0,0,0
E01000151,E05000046,0.0,0,0,0,0,0,0,0,0,0,0
E01033920,E05000046,0.0,0,0,0,0,0,0,0,0,0,0
E01000165,E05000047,0.6879929201520834,50,100,7,7,6,6,6,6,6,6
E01000161,E05000047,0.0,50,100,7,7,6,6,6,6,6,6
E01000169,E05000048,0.6931471805599453,34,68,5,5,4,4,4,4,4,4
E01000170,E05000048,1.1490594918881223,34,68,5,5,4,4,4,4,4,4
E01000173,E05000048,0.0,32,64,4,4,4,4,4,4,4,4
E01000185,E05000049,0.0,32,64,4,4,4,4,4,4,4,4
E01000179,E05000049,0.710429477627686,34,68,5,5,4,4,4,4,4,4
E01000177,E05000049,1.016627167953435,34,68,5,5,4,4,4,4,4,4
E01000191,E05000050,0.0,0,0,0,0,0,0,0,0,0,0
E01000202,E05000051,0.46872030613877885,33,66,5,4,4,4,4,4,4,4
E01000196,E05000051,0.11419795024388443,33,66,5,4,4,4,4,4,4,4
E01000200,E05000051,0.9841239445500053,34,68,5,5,4,4,4,4,4,4
E01000209,E05000052,-0.0,32,64,4,4,4,4,4,4,4,4
E01000213,E05000052,0.7623877546993949,34,68,5,5,4,4,4,4,4,4
E01000207,E05000052,0.30213881830554246,34,68,5,5,4,4,4,4,4,4
E01000233,E05000054,0.5467754163633407,100,200,13,13,13,13,12,12,12,12
E01000245,E05000055,1.853075930100023,34,68,5,5,4,4,4,4,4,4
E01000243,E05000055,0.8293322989375096,33,66,5,4,4,4,4,4,4,4
E01000244,E05000055,1.2907147450208671,33,66,5,4,4,4,4,4,4,4
E01033912,E05000057,0.0,0,0,0,0,0,0,0,0,0,0
E01000256,E05000057,0.27998502604537584,50,100,7,7,6,6,6,6,6,6
E01000270,E05000058,0.8789775741795494,100,200,13,13,13,13,12,12,12,12
E01000283,E05000059,0.0,0,0,0,0,0,0,0,0,0,0
E01000285,E05000060,0.5969627687261353,100,200,13,13,13,13,12,12,12,12
E01000306,E05000062,-0.0,0,0,0,0,0,0,0,0,0,0
E01000314,E05000062,0.0,0,0,0,0,0,0,0,0,0,0
E01000322,E05000063,0.5408272405720519,34,68,5,5,4,4,4,4,4,4
E01000318,E05000063,0.1626867154209296,33,66,5,4,4,4,4,4,4,4
E01000316,E05000063,0.09611894357581033,33,66,5,4,4,4,4,4,4,4
E01000476,E05000085,0.32011271787506584,50,100,7,7,6,6,6,6,6,6
E01000478,E05000085,0.16370517562953954,50,100,7,7,6,6,6,6,6,6
E01000490,E05000087,0.0,50,100,7,7,6,6,6,6,6,6
E01000491,E05000087,0.8974426168861259,50,100,7,7,6,6,6,6,6,6
E01033933,E05000088,0.0,0,0,0,0,0,0,0,0,0,0
E01000501,E05000088,1.113954985242196,50,100,7,7,6,6,6,6,6,6
E01000514,E05000090,0.0,0,0,0,0,0,0,0,0,0,0
E01000538,E05000093,-0.0,0,0,0,0,0,0,0,0,0,0
E01000548,E05000094,0.6916580723885027,100,200,13,13,13,13,12,12,12,12
E01000557,E05000095,0.6933881515241104,100,200,13,13,13,13,12,12,12,12
E01000569,E05000096,0.8483655758903684,50,100,7,7,6,6,6,6,6,6
E01000566,E05000096,0.0,50,100,7,7,6,6,6,6,6,6
E01000599,E05000100,0.3908122778156058,25,50,4,3,3,3,3,3,3,3
E01000603,E05000100,0.0,25,50,4,3,3,3,3,3,3,3
E01033456,E05000100,0.0,25,50,4,3,3,3,3,3,3,3
E01000596,E05000100,0.44156878887233575,25,50,4,3,3,3,3,3,3,3
E01000607,E05000101,0.0,0,0,0,0,0,0,0,0,0,0
E01033941,E05000102,0.0,0,0,0,0,0,0,0,0,0,0
E01000618,E05000102,0.40438919618912333,34,68,5,5,4,4,4,4,4,4
E01033942,E05000102,0.0,0,0,0,0,0,0,0,0,0,0
E01033936,E05000104,0.0,0,0,0,0,0,0,0,0,0,0
E01000640,E05000105,0.0,0,0,0,0,0,0,0,0,0,0
